Rossz,Szomszedos,Febr. 8--10.,Febr. 22--24.,Márc. 1--3.,Márc. 8--10.,Márc. 15--17.,Márc. 22--24.,Ápr. 5--7.,Ápr. 12--14.,Tavaszi szünet,Ápr. 26--28.,Máj. 3--5.,Máj. 10--12.,Máj. 17--19.,Máj. 24--26.,Máj. 31. -- jún. 2.,Jún. 7--10.,Jún. 14--16.,Jún. 17--20.,Jún. 21--23.
5,4,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,Bálna (1),,,Kb (0),Franny (1),,Lemur (0),Zooey (1),,
5,4,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,,Bálna (1),,Kb (0),Franny (1),,Lemur (0),Zooey (1),,
5,5,,,,,Ka (0),Mongúz (0),Manátusz (1),,,Bárány (1),Bálna (1),,Kb (0),Franny (1),,Lemur (0),Zooey (1),,
6,3,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,Bálna (1),,,Kb (0),Franny (1),,Lemur (0),,Zooey (2),
6,3,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,,Bálna (1),,Kb (0),Franny (1),,Lemur (0),,Zooey (2),
6,4,,Manátusz (2),Bárány (1),,Ka (0),Mongúz (0),,,,Bálna (1),,,Kb (0),Franny (1),,Lemur (0),Zooey (1),,
6,4,,Manátusz (2),Bárány (1),,Ka (0),Mongúz (0),,,,,Bálna (1),,Kb (0),Franny (1),,Lemur (0),Zooey (1),,
6,4,,Manátusz (2),,,Ka (0),Mongúz (0),,,,Bárány (1),Bálna (1),,Kb (0),Franny (1),,Lemur (0),Zooey (1),,
6,4,,,Bálna (2),,Ka (0),Mongúz (0),Manátusz (1),,,Bárány (1),,,Kb (0),Franny (1),,Lemur (0),Zooey (1),,
6,4,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,Bálna (1),,Zooey (2),Kb (0),Franny (1),,Lemur (0),,,
6,4,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,Bálna (1),,,Kb (0),Franny (1),,Zooey (1),Lemur (1),,
6,4,,,Bárány (1),,Ka (0),Franny (2),Manátusz (1),,,Bálna (1),,,Kb (0),Mongúz (0),,Lemur (0),Zooey (1),,
6,4,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,Bálna (1),,,Franny (1),Kb (1),,Lemur (0),Zooey (1),,
6,4,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,Bálna (1),,,Kb (0),Franny (1),Lemur (1),,Zooey (1),,
6,4,,,Bárány (1),,Ka (0),,Manátusz (1),,,Bálna (1),,,Kb (0),Franny (1),Mongúz (1),Lemur (0),Zooey (1),,
6,4,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,,Bálna (1),,Kb (0),Franny (1),,Zooey (1),Lemur (1),,
6,4,,,Bárány (1),,Ka (0),Franny (2),Manátusz (1),,,,Bálna (1),,Kb (0),Mongúz (0),,Lemur (0),Zooey (1),,
6,4,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,,Bálna (1),,Franny (1),Kb (1),,Lemur (0),Zooey (1),,
6,4,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,,Bálna (1),,Kb (0),Franny (1),Lemur (1),,Zooey (1),,
6,4,,,Bárány (1),,Ka (0),,Manátusz (1),,,,Bálna (1),,Kb (0),Franny (1),Mongúz (1),Lemur (0),Zooey (1),,
6,4,,,Bárány (1),,,Mongúz (0),Manátusz (1),,,Ka (1),Bálna (1),,Kb (0),Franny (1),,Lemur (0),Zooey (1),,
6,4,,,,,Ka (0),Mongúz (0),Manátusz (1),,,Bárány (1),Bálna (1),,Kb (0),Franny (1),,Lemur (0),,Zooey (2),
6,5,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,Bálna (1),,,Kb (0),Franny (1),Lemur (1),Zooey (1),,,
6,5,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,,Bálna (1),Zooey (2),Kb (0),Franny (1),,Lemur (0),,,
6,5,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,,Bálna (1),,Kb (0),Franny (1),Lemur (1),Zooey (1),,,
6,5,,,,,Ka (0),Mongúz (0),Manátusz (1),,,Bárány (1),Bálna (1),,Kb (0),Franny (1),,Zooey (1),Lemur (1),,
6,5,,,,,Ka (0),Franny (2),Manátusz (1),,,Bárány (1),Bálna (1),,Kb (0),Mongúz (0),,Lemur (0),Zooey (1),,
6,5,,,,,Ka (0),Mongúz (0),Manátusz (1),,,Bárány (1),Bálna (1),,Franny (1),Kb (1),,Lemur (0),Zooey (1),,
6,5,,,,,Ka (0),Mongúz (0),Manátusz (1),,,Bárány (1),Bálna (1),,Kb (0),Franny (1),Lemur (1),,Zooey (1),,
6,5,,,,,Ka (0),,Manátusz (1),,,Bárány (1),Bálna (1),,Kb (0),Franny (1),Mongúz (1),Lemur (0),Zooey (1),,
6,5,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,,,Bálna (2),Kb (0),Franny (1),,Lemur (0),Zooey (1),,
6,5,,,,,Ka (0),Mongúz (0),Manátusz (1),,,Bárány (1),,Bálna (2),Kb (0),Franny (1),,Lemur (0),Zooey (1),,
6,6,,,,,Ka (0),Mongúz (0),Manátusz (1),,,Bárány (1),Bálna (1),Zooey (2),Kb (0),Franny (1),,Lemur (0),,,
6,6,,,,,Ka (0),Mongúz (0),Manátusz (1),,,Bárány (1),Bálna (1),,Kb (0),Franny (1),Lemur (1),Zooey (1),,,
7,2,,,Bárány (1),,Ka (0),,Manátusz (1),,,Bálna (1),,,Franny (1),Mongúz (0),,Lemur (0),Zooey (1),,Kb (2)
7,2,,,Bárány (1),,Ka (0),,Manátusz (1),,,,Bálna (1),,Franny (1),Mongúz (0),,Lemur (0),Zooey (1),,Kb (2)
7,3,,Manátusz (2),Bárány (1),,Ka (0),Mongúz (0),,,,Bálna (1),,,Kb (0),Franny (1),,Lemur (0),,Zooey (2),
7,3,,Manátusz (2),Bárány (1),,Ka (0),Mongúz (0),,,,,Bálna (1),,Kb (0),Franny (1),,Lemur (0),,Zooey (2),
7,3,,Manátusz (2),,,Ka (0),Mongúz (0),,,,Bárány (1),Bálna (1),,Kb (0),Franny (1),,Lemur (0),,Zooey (2),
7,3,,,Bálna (2),,Ka (0),Mongúz (0),Manátusz (1),,,Bárány (1),,,Kb (0),Franny (1),,Lemur (0),,Zooey (2),
7,3,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,Bálna (1),,,Franny (1),Lemur (0),,Zooey (1),,Kb (2),
7,3,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,Bálna (1),,,Franny (1),Lemur (0),,Zooey (1),,,Kb (2)
7,3,,,Bárány (1),,Ka (0),,Manátusz (1),,,Bálna (1),,,Franny (1),Mongúz (0),,Lemur (0),Zooey (1),Kb (2),
7,3,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,Bálna (1),,,Franny (1),Lemur (0),,,Zooey (1),,Kb (2)
7,3,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,Bálna (1),,,Franny (1),,,Lemur (0),Zooey (1),,Kb (2)
7,3,,,Bárány (1),,,Mongúz (0),Manátusz (1),,,Bálna (1),,,Franny (1),Ka (0),,Lemur (0),Zooey (1),,Kb (2)
7,3,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,Bálna (1),,,,Franny (1),,Lemur (0),Zooey (1),,Kb (2)
7,3,,,Bárány (1),,Ka (0),Franny (2),Manátusz (1),,,Bálna (1),,,Kb (0),Mongúz (0),,Lemur (0),,Zooey (2),
7,3,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,Bálna (1),,,Franny (1),Kb (1),,Lemur (0),,Zooey (2),
7,3,,,Bárány (1),,Ka (0),,Manátusz (1),,,Bálna (1),,,Kb (0),Franny (1),Mongúz (1),Lemur (0),,Zooey (2),
7,3,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,,Bálna (1),,Franny (1),Lemur (0),,Zooey (1),,Kb (2),
7,3,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,,Bálna (1),,Franny (1),Lemur (0),,Zooey (1),,,Kb (2)
7,3,,,Bárány (1),,Ka (0),,Manátusz (1),,,,Bálna (1),,Franny (1),Mongúz (0),,Lemur (0),Zooey (1),Kb (2),
7,3,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,,Bálna (1),,Franny (1),Lemur (0),,,Zooey (1),,Kb (2)
7,3,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,,Bálna (1),,Franny (1),,,Lemur (0),Zooey (1),,Kb (2)
7,3,,,Bárány (1),,,Mongúz (0),Manátusz (1),,,,Bálna (1),,Franny (1),Ka (0),,Lemur (0),Zooey (1),,Kb (2)
7,3,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,,Bálna (1),,,Franny (1),,Lemur (0),Zooey (1),,Kb (2)
7,3,,,Bárány (1),,Ka (0),Franny (2),Manátusz (1),,,,Bálna (1),,Kb (0),Mongúz (0),,Lemur (0),,Zooey (2),
7,3,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,,Bálna (1),,Franny (1),Kb (1),,Lemur (0),,Zooey (2),
7,3,,,Bárány (1),,Ka (0),,Manátusz (1),,,,Bálna (1),,Kb (0),Franny (1),Mongúz (1),Lemur (0),,Zooey (2),
7,3,,,Bárány (1),,,Mongúz (0),Manátusz (1),,,Ka (1),Bálna (1),,Kb (0),Franny (1),,Lemur (0),,Zooey (2),
7,3,,,,,Ka (0),,Manátusz (1),,,Bárány (1),Bálna (1),,Franny (1),Mongúz (0),,Lemur (0),Zooey (1),,Kb (2)
7,4,,Manátusz (2),Bálna (2),,Ka (0),Mongúz (0),,,,Bárány (1),,,Kb (0),Franny (1),,Lemur (0),Zooey (1),,
7,4,,Manátusz (2),,,Ka (0),Mongúz (0),Bálna (2),,,Bárány (1),,,Kb (0),Franny (1),,Lemur (0),Zooey (1),,
7,4,,Manátusz (2),Bárány (1),,Ka (0),Mongúz (0),,,,Bálna (1),,Zooey (2),Kb (0),Franny (1),,Lemur (0),,,
7,4,,Manátusz (2),Bárány (1),,Ka (0),Mongúz (0),,,,Bálna (1),,,Kb (0),Franny (1),,Zooey (1),Lemur (1),,
7,4,,Manátusz (2),Bárány (1),,Ka (0),Franny (2),,,,Bálna (1),,,Kb (0),Mongúz (0),,Lemur (0),Zooey (1),,
7,4,,Manátusz (2),Bárány (1),,Ka (0),Mongúz (0),,,,Bálna (1),,,Franny (1),Kb (1),,Lemur (0),Zooey (1),,
7,4,,Manátusz (2),Bárány (1),,Ka (0),Mongúz (0),,,,Bálna (1),,,Kb (0),Franny (1),Lemur (1),,Zooey (1),,
7,4,,Manátusz (2),Bárány (1),,Ka (0),Mongúz (0),,,,,Bálna (1),,Kb (0),Franny (1),,Zooey (1),Lemur (1),,
7,4,,Manátusz (2),Bárány (1),,Ka (0),Franny (2),,,,,Bálna (1),,Kb (0),Mongúz (0),,Lemur (0),Zooey (1),,
7,4,,Manátusz (2),Bárány (1),,Ka (0),Mongúz (0),,,,,Bálna (1),,Franny (1),Kb (1),,Lemur (0),Zooey (1),,
7,4,,Manátusz (2),Bárány (1),,Ka (0),Mongúz (0),,,,,Bálna (1),,Kb (0),Franny (1),Lemur (1),,Zooey (1),,
7,4,,Manátusz (2),Bárány (1),,,Mongúz (0),,,,Ka (1),Bálna (1),,Kb (0),Franny (1),,Lemur (0),Zooey (1),,
7,4,,Manátusz (2),,,Ka (0),Mongúz (0),,,,Bárány (1),Bálna (1),,Kb (0),Franny (1),,Zooey (1),Lemur (1),,
7,4,,Manátusz (2),,,Ka (0),Franny (2),,,,Bárány (1),Bálna (1),,Kb (0),Mongúz (0),,Lemur (0),Zooey (1),,
7,4,,Manátusz (2),,,Ka (0),Mongúz (0),,,,Bárány (1),Bálna (1),,Franny (1),Kb (1),,Lemur (0),Zooey (1),,
7,4,,Manátusz (2),,,Ka (0),Mongúz (0),,,,Bárány (1),Bálna (1),,Kb (0),Franny (1),Lemur (1),,Zooey (1),,
7,4,,Manátusz (2),,,Ka (0),Mongúz (0),,,,Bárány (1),,Bálna (2),Kb (0),Franny (1),,Lemur (0),Zooey (1),,
7,4,Bálna (3),,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,,,,Kb (0),Franny (1),,Lemur (0),Zooey (1),,
7,4,Bálna (3),,,,Ka (0),Mongúz (0),Manátusz (1),,,Bárány (1),,,Kb (0),Franny (1),,Lemur (0),Zooey (1),,
7,4,,Bálna (3),,,Ka (0),Mongúz (0),Manátusz (1),,,Bárány (1),,,Kb (0),Franny (1),,Lemur (0),Zooey (1),,
7,4,,,Bálna (2),,Ka (0),Mongúz (0),Manátusz (1),,,Bárány (1),,Zooey (2),Kb (0),Franny (1),,Lemur (0),,,
7,4,,,Bálna (2),,Ka (0),Mongúz (0),Manátusz (1),,,Bárány (1),,,Kb (0),Franny (1),,Zooey (1),Lemur (1),,
7,4,,,Bálna (2),,Ka (0),Franny (2),Manátusz (1),,,Bárány (1),,,Kb (0),Mongúz (0),,Lemur (0),Zooey (1),,
7,4,,,Bálna (2),,Ka (0),Mongúz (0),Manátusz (1),,,Bárány (1),,,Franny (1),Kb (1),,Lemur (0),Zooey (1),,
7,4,,,Bálna (2),,Ka (0),Mongúz (0),Manátusz (1),,,Bárány (1),,,Kb (0),Franny (1),Lemur (1),,Zooey (1),,
7,4,,,Bálna (2),,Ka (0),,Manátusz (1),,,Bárány (1),,,Kb (0),Franny (1),Mongúz (1),Lemur (0),Zooey (1),,
7,4,,,Bárány (1),,Ka (0),Franny (2),Manátusz (1),,,Bálna (1),,Zooey (2),Kb (0),Mongúz (0),,Lemur (0),,,
7,4,,,Bárány (1),,Ka (0),Mongúz (0),Manátusz (1),,,Bálna (1),,Zooey (2),Franny (1),Kb (1),,Lemur (0),,,
7,4,,,Bárány (1),,Ka (0),,Manátusz (1),,,Bálna (1),,Zooey (2),Kb (0),Franny (1),Mongúz (1),Lemur (0),,,
